# Created by: riboviz
# Date: 2025-09-09 20:30:28.782655
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAR064W	0	0	0	1	1	1
YAR066W	105	12	46	6.18229881038286e-12	2.12359527201197e-05	7.59682811616277e-15
YAR068W	8	21	58	0.987373127200604	0.99997820472215	0.999996134530408
YAR071W	9686	1173	3785	4.50685253504419e-70	7.11791253496039e-35	1.19384906871993e-99
YBL113C	0	0	3	1	0.977249868051821	1
YBL112C	0	0	0	1	1	1
YBL111C	11	1	4	0.00751730023251553	0.0572943396999558	0.00229053046531752
YBL108C-A	0	0	0	1	1	1
YBL107C	236	87	82	7.66042649757891e-11	6.37426050167681e-09	6.15362175161856e-18
YBL106C	90	16	24	1.39049425667468e-11	5.92944186186816e-09	1.1711034861389e-18
YBL105C	589	67	265	2.65865284199631e-52	2.76010677205208e-19	2.75985724097354e-65
YBL104C	295	39	128	9.88886967600398e-31	5.56104906041347e-12	2.0007201595914e-38
YBL103C	535	62	242	3.4405165527753e-36	2.13333675462309e-14	5.76251126814048e-46
YBL102W	961	137	379	7.05204348735966e-24	5.26242396824264e-13	4.47736241903979e-34
YBL101C	552	85	189	1.39124803912884e-44	2.10934915072434e-25	1.62346341643795e-66
YBL100W-C	6	1	1	0.0444865058509067	0.0599069071027719	0.0106501313445342
YBL099W	7633	1220	3655	7.55976523512113e-77	2.38670855655858e-24	1.95609794961971e-91
YBL098W	225	34	108	1.77081276592815e-20	7.08432040937695e-09	3.6284863761849e-26
YBL097W	251	28	95	2.6563790148547e-23	6.575925493878e-11	4.84850312737847e-31
YBL095W	107	10	35	9.29205636695634e-12	3.71183239195017e-07	7.94729713169985e-17
YBL093C	623	84	233	2.52915422866625e-26	4.12821251742554e-14	1.78029063407652e-37
YBL092W	49634	5545	17854	2.57146347938672e-20	6.35763378260473e-11	1.44973778500324e-28
YBL091C-A	208	24	51	6.03729917463234e-14	4.90433634015772e-10	5.55279678770555e-22
YBL091C	2195	279	869	5.18044859032343e-49	9.5788577271808e-20	2.90847724749844e-63
YBL090W	461	63	125	1.12841998284642e-18	4.21870007637972e-12	1.65609746124595e-28
YBL089W	199	33	74	2.85897400424436e-18	2.55468201635815e-09	6.55817901780093e-25
YBL088C	82	13	30	3.48574385988061e-12	1.06756684102086e-06	1.18870585580191e-16
YBL087C	25453	2895	10127	6.74335186347134e-23	4.95916055637852e-12	4.44680820321836e-32
YBL086C	332	24	136	2.23083225123407e-30	7.32943757147797e-11	1.216957893384e-36
YBL085W	899	99	411	4.36567554159378e-64	1.73462806301607e-22	6.49226375573e-79
YBL084C	200	24	89	4.9300854164898e-22	2.8880367053151e-08	1.34739917783356e-26
YBL082C	381	50	122	3.04237621128445e-30	4.914789018393e-17	2.68924847506322e-44
YBL081W	342	51	127	3.01163724958062e-25	3.13518920650577e-12	2.72910374694076e-34
YBL080C	100	13	36	3.66334413759925e-13	5.90555881984526e-08	5.86094713645094e-19
YBL079W	874	135	346	3.78276796025278e-63	8.9818556539026e-28	4.45230181183661e-85
YBL078C	294	53	175	6.90910948616769e-13	0.000489349631609536	1.05611122933682e-13
YBL076C	17899	2188	6936	3.90095774192799e-149	2.80592234193096e-62	1.34224803288857e-199
YBL075C	12	2	7	0.00418241791321914	0.143021364520637	0.00440944046226338
YBL074C	139	29	68	3.86331118977763e-11	2.93264822878147e-05	4.97411254079585e-14
YBL072C	75927	8557	22706	3.04407994573316e-32	8.71054216605996e-19	4.47939827702006e-48
YBL071C-B	0	0	0	1	1	1
YBL071W-A	256	31	126	6.55925455396935e-11	7.5027009042682e-05	2.51755007622027e-13
YBL069W	829	121	355	4.3767845470022e-40	4.0974110559205e-16	2.44213342813307e-51
YBL068W	526	70	222	4.90550373639005e-27	8.50435687336054e-12	3.23999265351772e-35
YBL067C	258	27	98	2.36416015348131e-26	4.52466951716685e-11	9.90811939523289e-34
YBL066C	136	31	54	1.39140217254192e-14	5.83768411200414e-09	2.4035947210236e-21
YBL064C	733	80	254	2.61954524598784e-30	8.62980494191845e-16	7.12034041895294e-43
YBL063W	194	21	83	1.82024827304585e-23	6.33444108326271e-09	1.3155549072502e-28
YBL061C	841	109	479	4.59730112091191e-52	1.32777773736289e-12	1.66709709876992e-55
YBL060W	230	37	100	1.55479821933908e-22	1.10527524203379e-09	7.31179232870977e-29
YBL059C-A	350	41	132	3.90267776364351e-13	1.39417503531797e-05	4.91615056983591e-16
YBL059W	97	11	48	6.09150351992436e-10	0.0030620933314636	2.24615091613665e-10
YBL058W	3567	374	1501	9.43189764817862e-60	4.97849476286034e-23	3.36393713849327e-76
YBL057C	551	74	183	4.03855174028759e-23	2.80005173473108e-13	9.52468800381323e-34
YBL056W	1367	181	849	1.00531630019886e-47	3.14440848322626e-11	3.44845775924721e-50
YBL055C	335	47	169	3.02590445441397e-24	2.79983900810739e-08	2.49689681318143e-28
YBL054W	483	62	191	6.49233082578608e-35	1.07057566513504e-13	5.0369284129444e-44
YBL052C	96	10	33	1.5230740765259e-12	1.41652982780431e-06	8.35854227213966e-17
YBL051C	1552	172	724	2.25791744970279e-70	1.12265201685433e-27	7.7526407412958e-91
YBL050W	1806	243	898	4.30612118141261e-35	4.01073040806343e-11	1.21076801809947e-40
YBL049W	4	0	0	0.0359303191129258	0.0359303191129258	0.00545474918213465
YBL047C	6031	767	2604	9.08123614664286e-156	4.49692068361637e-64	2.51006839251672e-207
YBL046W	297	38	117	5.46313734707359e-23	1.72685293163462e-09	5.62803182565609e-29
YBL045C	1589	157	575	2.43422086916443e-54	3.35499868276559e-28	3.16191143262575e-78
YBL044W	0	0	0	1	1	1
YBL043W	4	0	3	0.0359303191129258	0.388407002077741	0.0703434174375939
YBL042C	750	99	284	6.21441373482475e-47	9.24861697058577e-22	3.98585776604901e-64
YBL041W	3939	556	1710	5.27924620217444e-34	1.84010565075267e-13	5.48075745606487e-43
YBL040C	1065	160	441	2.30043623842313e-26	9.12140747014259e-13	7.01487379321502e-36
YBL039W-B	27	2	10	0.000396990395058125	0.00111027963594412	2.87578902113759e-06
YBL039C	5317	810	2294	3.09613282013865e-74	3.47976991862834e-29	6.34804614663768e-96
YBL038W	475	68	201	5.81986169676473e-23	1.38261264078955e-10	2.34221296768415e-30
YBL037W	511	80	188	2.06081311069561e-40	4.29028728306578e-21	7.87122479243578e-58
YBL036C	1016	145	441	2.00597673805346e-29	4.16490409915633e-13	7.90336656214969e-39
YBL035C	689	111	361	1.22542484307656e-46	8.71583600705078e-14	3.01672913844145e-53
YBL034C	518	70	229	5.98120445902047e-51	2.30203566069449e-18	5.61904624757921e-63
YBL033C	871	93	312	1.52007877503917e-40	5.62006794240831e-21	8.40506480187628e-58
YBL032W	2020	245	683	3.23981000089647e-45	1.66879744281542e-24	5.25054230490659e-66
YBL031W	65	15	23	1.50193671394953e-07	5.07778033178069e-05	9.38590936592675e-11
YBL030C	6594	979	2667	1.92172163274681e-44	5.9420003814086e-19	1.55480376284631e-58
YBL029C-A	216	42	91	1.87621788337419e-08	1.59385770534845e-05	4.19022839545001e-12
YBL029W	124	4	58	6.78141268714782e-16	1.23323839750798e-05	3.01953624544592e-18
YBL028C	882	139	415	2.90513790398191e-14	7.6353740247992e-06	2.87975568630724e-17
YBL027W	48079	7127	19030	1.18744484069782e-28	1.99056948345796e-12	2.4642054397002e-37
YBL026W	680	151	221	1.28222034448751e-12	7.5619750179693e-10	1.44944910035211e-20
YBL025W	167	27	60	9.61300398825972e-12	2.54832865694118e-07	5.31675532478069e-17
YBL024W	2982	436	1467	5.24477707608411e-74	1.50824870221201e-23	4.09275710671939e-88
YBL023C	946	131	392	9.43796669087364e-58	9.34511131166075e-24	1.55387755629325e-75
YBL022C	3388	370	1323	3.95088243364499e-126	1.47857199045536e-56	2.21055550596001e-173
YBL021C	357	38	113	4.30060042621567e-16	6.20653558505682e-08	2.09791923447316e-21
YBL020W	307	34	106	6.97580153109419e-30	2.17112618993547e-16	3.16338753334339e-43
YBL019W	78	15	45	2.18234889274351e-09	0.00393750591922091	8.21888932191042e-10
YBL018C	92	14	60	1.51869480231052e-08	0.017570144235576	3.21264789561472e-08
YBL017C	2254	265	928	4.3830008995429e-125	9.04671967585825e-49	1.43344939936398e-162
YBL016W	599	66	235	5.24909265303434e-33	2.42296691986488e-15	1.3887382027708e-44
YBL015W	605	81	236	1.70870428249436e-39	1.76365509628406e-17	1.29596095259694e-52
YBL014C	72	16	29	3.57776254898839e-08	6.32225247110367e-05	3.51817718569775e-11
YBL013W	102	12	38	1.30105698025093e-12	3.37661781588849e-07	1.32257364134155e-17
YBL011W	524	61	170	1.03707257143428e-45	5.18465516747421e-25	4.93809025277671e-67
YBL010C	248	37	107	3.86952320820806e-17	2.50906117277295e-08	9.40180605300124e-23
YBL009W	454	60	187	1.11637649839307e-36	3.32209126031467e-15	2.06565167257252e-47
YBL008W-A	0	0	0	1	1	1
YBL008W	188	24	82	4.70590290656697e-23	5.51299344631795e-09	2.30827292754516e-28
YBL007C	6582	865	2647	9.32196781535246e-152	2.0290952380488e-61	1.23169439484685e-200
YBL006C	582	77	252	2.19082089949652e-22	1.23521903822289e-08	2.27676258544535e-27
YBL005W	105	21	48	3.24626871082301e-12	2.55991564760361e-05	5.7919845726193e-15
YBL004W	1981	297	986	4.11881683698281e-131	1.01057307885666e-41	7.97796380075431e-158
YBL003C	5837	1229	2457	1.93237530584872e-20	7.6198471990079e-08	8.79607660146043e-25
YBL002W	10857	1516	3348	3.52039107545978e-22	2.53966838537179e-12	8.1720748590305e-32
YBL001C	1202	210	580	1.31006454574999e-12	0.000781740264928125	3.39115981381841e-13
YBR001C	344	47	175	2.56566699211362e-28	1.69657733178215e-07	3.0970670617036e-30
YBR002C	353	45	97	3.826005722527e-22	3.59776217674334e-13	8.95457281726065e-33
YBR003W	303	52	165	1.58028844772199e-25	1.28287453055425e-06	7.58610073619936e-27
YBR004C	171	29	77	1.63128675660808e-15	1.38967668226097e-07	1.70364321473995e-20
YBR005W	136	12	67	9.86524165796687e-13	2.62537919813871e-05	2.34173894080601e-15
YBR006W	217	46	97	9.38697406021584e-18	7.24658755840521e-09	6.30687294529921e-24
YBR007C	294	36	137	1.8689639481631e-31	3.37444486634196e-10	1.49546554895055e-36
YBR008C	1	0	0	0.5	0.5	0.5
YBR009C	13978	2485	7242	4.1927817879651e-16	6.92218340291115e-10	9.87946009186089e-24
YBR010W	23895	3596	7639	1.78448336217842e-23	8.64260651065691e-12	2.84817937662849e-32
YBR011C	18761	2221	6389	4.98684916314944e-45	1.03331873871325e-21	1.77136616813298e-62
YBR013C	81	14	32	1.45684045298721e-06	0.00104376231864631	2.08945347779961e-08
YBR014C	905	129	362	4.18891118497199e-24	3.05012955707927e-13	1.50241183529619e-34
YBR015C	1697	248	647	2.89673315978563e-61	7.80423951129072e-29	7.68195777165196e-85
YBR016W	2594	257	1320	1.76024720261387e-21	2.66194913771958e-09	1.6032055478145e-27
YBR017C	1703	244	788	1.50279305213356e-79	1.94814561019536e-30	7.68317390682645e-102
YBR018C	1	2	0	0.806761884614384	0.5	0.72985431269629
YBR019C	1	1	1	0.681324055883031	0.681324055883031	0.747507462453077
YBR020W	0	1	0	0.977249868051821	1	1
YBR021W	77	18	35	2.77683675462238e-08	0.000320706631088019	1.98604576983208e-10
YBR022W	184	21	93	1.60874036950541e-12	2.02636064368841e-05	2.45251376726087e-15
YBR023C	1108	175	525	2.4227271841146e-69	5.61491186941259e-23	1.06398359085407e-83
YBR024W	164	32	81	4.4456239608654e-15	9.73035453187649e-06	9.2310421710821e-18
YBR025C	10334	1355	4119	3.20342386401403e-57	5.40537936360152e-24	2.07429211535084e-75
YBR026C	1187	146	513	4.56294228289965e-38	2.10122373692642e-15	8.65229291656915e-49
YBR028C	430	55	191	2.87054441820858e-31	3.62434023214103e-11	9.39053590409885e-38
YBR029C	974	141	368	4.14235744770465e-43	6.03462501208985e-22	3.80199776827e-61
YBR030W	200	27	86	1.1145598407143e-21	1.77694523581801e-09	6.60061182875188e-28
YBR031W	89335	13870	31178	5.30038268518758e-56	2.57869932702961e-29	5.56692395546402e-81
YBR033W	10	1	3	0.00386834240459527	0.0285967408740378	0.000623143780791531
YBR034C	1492	195	584	9.19214914713583e-43	6.37768118410491e-21	1.31126601978963e-59
YBR035C	3785	522	1348	9.16524749607927e-33	5.43442060466663e-17	2.11407012727129e-46
YBR036C	1595	207	543	9.87122723169742e-46	5.6469933543027e-26	3.49438445500183e-68
YBR037C	401	34	161	2.20921625287408e-26	7.33006067245954e-12	9.14840512156069e-35
YBR038W	1369	200	591	2.84867017795761e-67	2.19963085823914e-27	5.97307626237861e-88
YBR039W	2802	421	1064	2.68479816030523e-42	1.7432170295597e-21	6.67623884470223e-60
YBR040W	18	2	0	0.000191592271268265	3.18570198571747e-05	4.68157653922036e-08
YBR041W	755	127	367	7.83948687757567e-44	1.46833383960015e-15	1.41824701123223e-53
YBR042C	330	52	117	2.24723959664606e-20	5.39449586943546e-12	7.08464423289576e-30
YBR043C	206	99	122	1.14066355020126e-17	2.28164554845801e-07	5.79090077733945e-22
YBR044C	80	9	41	9.51535618458764e-13	0.000445577736534998	1.16277075183043e-13
YBR045C	11	3	8	0.0177567143008132	0.241758089042576	0.0237339902267313
YBR046C	757	100	440	2.37424116529398e-31	1.42266064094913e-10	5.34570245868674e-37
YBR047W	285	41	129	4.35417074254485e-15	7.00989822250585e-07	2.88186600160231e-19
YBR048W	36642	4408	8879	2.97340685689562e-25	4.64133997656885e-18	4.94177216323815e-41
YBR049C	3061	336	1462	1.95265516771214e-95	7.87393813759122e-30	1.65151447868723e-113
YBR050C	12	1	4	0.00257774257417326	0.0318559113832604	0.000502723468519484
YBR052C	1074	116	322	1.25386919664712e-26	1.61369731025671e-15	2.1424245310509e-39
YBR053C	544	84	257	6.39952234512699e-27	1.55497850347245e-08	9.8946521446518e-31
YBR054W	600	105	258	7.87667310422698e-27	6.56752341985126e-12	3.42855527266868e-35
YBR055C	422	58	201	7.97388370101845e-36	1.73610543134367e-12	4.09930498847676e-43
YBR056W	743	102	357	2.8491142267919e-39	1.05145285110291e-12	4.40132482109758e-46
YBR056W-A	110	16	78	5.55957505001702e-06	0.0394597405232761	6.82134498991312e-06
YBR057C	514	49	204	1.50977719613022e-31	2.65257630969888e-14	4.43962559927125e-42
YBR058C	1127	143	523	2.1334999031844e-67	4.92936740269355e-21	1.789511722931e-79
YBR058C-A	557	105	248	1.14337786078741e-11	8.56606833563263e-06	3.98354526341087e-15
YBR059C	1283	186	650	5.80773630538556e-73	4.33151013468899e-23	1.15527445104725e-86
YBR060C	359	68	151	2.91245114785452e-27	8.54895209718339e-14	6.87065551145326e-38
YBR061C	636	109	346	1.61833258501061e-25	5.75669577946811e-07	2.25454035521101e-27
YBR062C	458	63	196	2.61379814535753e-20	1.22102238397741e-09	5.39198223403897e-27
YBR063C	1	0	0	0.5	0.5	0.5
YBR065C	171	27	78	4.70745632463168e-15	1.47499786248076e-07	4.39504778954855e-20
YBR066C	276	44	123	2.77397500413559e-17	1.07004272427058e-08	2.50065590503405e-23
YBR067C	5547	614	2427	3.24406617720208e-33	3.78102110873407e-15	1.62877304057492e-44
YBR068C	4697	764	2160	7.10498830237884e-75	5.75244578850508e-28	7.88971790268846e-95
YBR069C	2101	288	801	1.23987186864578e-62	4.25701146836245e-28	4.63253244438524e-85
YBR070C	180	30	78	4.42369661603163e-13	1.82889684709802e-05	7.74723015824421e-16
YBR071W	830	90	303	9.29463605313374e-28	7.84678799627687e-15	1.47253219385445e-39
YBR072W	221	22	103	1.08864686373929e-18	7.04799354049826e-07	4.13950524801007e-22
YBR072C-A	0	1	0	0.977249868051821	1	1
YBR073W	835	118	322	2.09094640396961e-54	2.67944989690765e-25	9.71139451612845e-75
YBR074W	952	221	439	5.29454003325956e-58	8.51870580396541e-22	3.61405772953007e-73
YBR076W	3	1	1	0.211855398583397	0.211855398583397	0.12894951764617
YBR077C	542	60	184	5.08380228656329e-20	4.8944484254701e-11	1.89619414991852e-28
YBR078W	21717	2490	8760	9.90159335457836e-65	8.52323426384855e-28	2.08752388100278e-86
YBR079C	7867	1070	3289	1.91869305331461e-124	2.84243186264625e-50	5.27047144230661e-164
YBR080C	2896	374	1174	1.67097448468651e-85	2.55268967067114e-36	2.70533985272547e-114
YBR081C	538	58	229	1.55208266417339e-53	1.15167754150857e-19	8.99781920633213e-67
YBR082C	4097	471	1733	4.50595877400449e-23	4.07764689107442e-11	4.14145446013076e-31
YBR083W	1039	158	457	1.66888274018218e-47	1.53760277769369e-21	2.52988917537816e-64
YBR084W	3330	482	1334	6.00781040247921e-101	1.93364132935549e-46	8.41659298776612e-140
YBR084C-A	39149	6186	17601	9.81663260288876e-28	1.70678131667403e-11	2.16451946823858e-35
YBR085W	158	27	52	3.40854334223551e-14	7.06000387898595e-09	6.52293963128042e-21
YBR085C-A	1010	166	523	2.12008565048103e-13	0.000509668007300758	4.74496395718046e-14
YBR086C	1759	264	867	2.40884738218996e-79	3.34922819902954e-28	1.07874922205448e-98
YBR087W	674	94	329	1.82649339604397e-34	9.64541452546497e-12	4.97364909627247e-41
YBR088C	2379	325	948	1.58470465953356e-38	7.82524775010431e-19	1.70051479420324e-53
YBR089C-A	1442	158	472	1.23133571777057e-14	6.07849912922722e-09	2.26391492668474e-21
YBR090C	83	236	625	0.996641008910616	0.999999966437016	0.999999995097747
YBR091C	448	65	188	1.08719288059325e-12	1.45397471919169e-05	1.16876683354276e-15
YBR092C	3922	400	1587	7.86611661239314e-64	3.25951752828176e-27	6.29758690338114e-85
YBR093C	3392	371	1397	4.11283536857245e-57	1.00312409561868e-24	2.96159779784209e-76
YBR094W	484	60	243	2.37775344767046e-41	2.47295462091974e-12	3.88370928164655e-47
YBR095C	369	40	184	1.27214350907097e-25	1.46634736030598e-10	1.76266086177081e-32
YBR096W	840	108	311	6.36771640848874e-29	5.15597915255481e-14	1.50969301932667e-39
YBR097W	185	27	91	2.11598154552155e-22	3.21264638003978e-08	8.04895371484953e-27
YBR098W	100	24	67	4.85634185333281e-09	0.0117712478061346	7.7027345149411e-09
YBR101C	2421	312	1117	8.56440346519533e-39	1.60023575508609e-15	1.58047301977447e-49
YBR102C	568	58	271	8.23607432643824e-48	2.1378277502117e-15	1.92721393955276e-56
YBR103W	299	37	132	7.35694293756096e-24	2.07553928548897e-09	1.45336819103736e-29
YBR104W	1360	193	553	8.93929233931712e-36	6.33641532168493e-17	7.57117654067266e-49
YBR105C	178	19	78	3.40630693535625e-18	9.65909887467929e-09	3.88942569263481e-24
YBR106W	7042	834	2184	1.01637552623182e-31	4.02449822194697e-18	7.58970429444319e-47
YBR107C	35	11	23	0.00448118670499986	0.121472973349962	0.00375130619825418
YBR108W	936	141	457	2.19984676597671e-60	3.32896634158126e-21	2.94901444511782e-74
YBR109C	4957	633	2690	9.36071696835271e-25	1.22630440994463e-06	2.58518081012938e-26
YBR110W	424	70	183	1.98475917246663e-27	3.0723927792063e-11	8.18597541775791e-35
YBR111C	1781	277	562	5.24298341143335e-29	3.37783587748323e-16	3.01653115622738e-42
YBR111W-A	510	67	173	1.42441531656642e-11	2.68930108286558e-06	1.16706235515635e-15
YBR112C	2874	307	1367	3.30591659354574e-107	3.74370445233568e-35	4.43037070848487e-130
YBR114W	197	21	84	1.09886040588256e-22	2.66352294132223e-09	1.73250345831338e-28
YBR115C	12121	1796	5788	2.34463494004302e-181	3.10574266772295e-65	1.75784530053947e-229
YBR117C	6	0	1	0.0238574401186756	0.0599069071027719	0.00621064905065104
YBR118W	561226	75247	223966	1.64508010186723e-71	2.13454904782082e-33	4.7832256461509e-99
YBR119W	318	52	107	1.11868035764746e-18	1.27159665740298e-11	5.73775464418705e-28
YBR120C	260	19	104	1.83964525339498e-15	5.62073722283486e-07	1.08555798120393e-19
